id,paper_id_new,,paper_id,coder,data,sensor,brand,metric,metric_larger_category,metric_smaller_category,metric_smaller_standardized,metric_IG_category,data_per_metric,outcome,outcome_instrument,outcome_smaller_category,outcome_larger_category,analysis_and_results mm-oo:analysis:resultsig,outcome -significance
1,1,,1,bert,III) Audio,III) Microphone,III) NS,1) Speech Time,1) Verbal,1) Speech Features,1) Speech Features,1) Individual,1) III,a) verbal participation,a) survey,a) communication,a) process,1-A: t-test: sig: (t[38] = 2.18),a) 1
2,2,,3,bert,"I) Eye Gaze
III) Audio","I) Eye Tracker
III) Microphone","I) Tobii 1750
III) NS","1) Focus Of Attention
2) Together Gaze
3) Dialogue Episode
4) Gaze Transitions","1) Gaze
2) Gaze
3) Verbal
4) Gaze","1) Visual Attention
2) Visual Attention
3) Speech Content
4) Eye Motion","1) Visual Attention
2) Visual Attention
3) Speech Content
4) Eye Motion","1) Individual
2) Group
3) Individual
4) Individual","1) I
2) I
3) III
4) I","a) level of understanding
B) conversational features","a) researcher coded
B) researcher coded","a) performance
B) coordination","a) product
B) process","1+2-A: anova: sig
1+2-A+B: mixed linear model: sig
4-B: anova: sig","a) 1
B)1"
3,3,,4,edwin,"VI) EDA
VII) ECG","VI) Varioport 16-Bit Digital Skin Conductance Amplifier
VII) Modified Lead II Configuration","VI) Varioport-B Portable Recorder System
VII) NS",1) Physiological Linkage,1) Physiological,1) EDA,1) EDA,1) Individual,"1) VI, VII","a) Involvement
B)emotion
c)emotion
D) level of understanding","a) questionnaire
B) questionnaire
c) questionnaire
D) questionnaire","a) cognitive engagement
B) affective
c) affective
D) learning","a) process
B) process
c) process
D) product","1-A: regression: sig
1-B: regression: sig
1-C: regression: sig
1-D: regression: sig","a) 1
B) 1
c) 1
D) 1"
4,4,,5,iulian,"II) Video
III) Audio
XII) Other","II) Kinect
III) Microphone
XII) Irma Matrix Tof Sensors","II) Microsoft Kinect
III) NS
XII) Infrared Intelligent Systems","1) Non-Verbal Speaking Metrics
2) Visual Attention
3) Verbal Dominance And Information Metrics","1) Verbal
2) Gaze
3) Verbal","1) Speech Participation
2) Visual Attention
3) Speech Participation","1) Speech Participation
2) Visual Attention
3) Speech Participation","1) Individual
2) Group
3) Group","1) XII
2) II
3) III","a) leadership
B) perceived contribution","a) questionnaire
B) questionnaire","a) interpersonal relationship
B) interpersonal relationship ","a) process
B) process","3-A: correlation: sig
3-B: correlation: sig
1-A: correlation: nonsig
1-B: correlation: nonsig
2-A: correlation: nonsig
2-B: correlation: sig
1*2*3-A: regression: nonsig
1*2*3-B: regression: nonsig","a) 1/0
B) 1/0"
5,5,,6,bert,"VI) EDA
II) Video","VI) EDA Sensor
II) Camera","VI) Empatica
II) NS","1) EDA Peak Detection
2) Physiological Concordance Index","1) Physiological
2) Physiological","1) EDA
2) Combined","1) EDA
2) Combined","1) Individual
2) Group","1) VI
2) II",a) emotion ,a) researcher coded,a) cognitive engagement,a) process,"1,2-A: correlation: sig: (r=0.663)",a) 1
6,6,,10,steph,"III) Audio
II) Video","III) Microphone
II) Camera","III) NS
II) Logitech R Webcam Pro 9000","1) Group Participation Speaking Cues
2) Silence And Overlap Cues
3) Speaking Distribution Cues
4) Visual Attention
5) Group Looking Cues","1) Verbal
2) Verbal
3) Verbal
4) Gaze
5) Gaze","1) Speech Participation
2) Speech Participation
3) Speech Participation
4) Visual Attention
5) Visual Attention ","1) Speech Participation
2) Speech Participation
3) Speech Participation
4) Visual Attention
5) Visual Attention","1) Individual
2) Group
3) Group
4) Individual
5) Group","1) III
2) III
3) III
4) IV
5) IV","a) group composition
B) social perception
c) group performance","a) questionnaire
B) questionnaire
c) Negative distance between expert list and group list","a) group composition
B) interpersonal relationship
c) performance","a) condition
B) process
c) product","1-A: correlation: sig
2-A: correlation: sig
3-A: correlation: sig
4-A: correlation: sig
5-A: correlation: sig
1-B: correlation: sig
2-B: correlation: sig
3-B: correlation: sig
4-B: correlation: sig
5-B: correlation: sig
1-C: correlation: sig
2-C: correlation: sig
3-C: correlation: sig
4-C: correlation: sig
5-C: correlation: sig
1+2-A: regression: sig
2+3-B: regression: sig
2-C: regression: sig","a) 1
B) 1
c) 1"
7,7,,11,edwin,"III) Audio
II) Video","III) NS
II) NS","III) NS
II) NS","1) Gemaps Acoustic Features
2) Extended Gemaps Acoustic Features
3) MFCCS
4) Facial Action Units","1) Verbal
2) Verbal
3) Verbal
4) Head","1) Speech Features
2) Speech Features
3) Speech Features
4) Facial Expressions","1) Speech Features
2) Speech Features
3) Speech Features
4) Facial Expressions","1) Individual
2) Individual
3) Individual
4) Individual","1) III
2) III
3) III
4) II","a) laughter
B) laughter
c) laughter","a) computation
B) computation
c) researcher coded","a) interpersonal relationship
B) interpersonal relationship
c) interpersonal relationship","a) process
B) process
c) process","1+2+3+4-A: sup. machine learning: nonsig
1+3+3+4-B: sup. machine learning: nonsig
1+2+3+4-C: sup. machine learning: nonsig","a) 0
B) 0
c) 0"
8,8,,12,bert,III) Audio,III) Microphone,III) NS,"1) Speech Features
2) Linguistic Features","1) Verbal
2) Verbal","1) Speech Features
2) Speech Content","1) Speech Features
2) Speech Content","1) Individual
2) Individual","1) III
2) III",a) group performance,a) experts evaluation,a) performance,a) product,1+2-A: sup. machine learning: (64.4%),a) experts evaluation
9,9,,14,callie,I) Eye Gaze,I) Eye Tracker,I) NS,"1) Perceptual With-Me-Ness (Gaze)
2) Conceptual With-Me-Ness (Gaze)
3) Gaze Similarity ","1) Gaze
2) Gaze
3) Gaze","1) Visual Attention
2) Visual Attention
3) Visual Attention","1) Visual Attention
2) Visual Attention
3) Visual Attention","1) Individual
2) Individual
3) Group","1) I
2) I
3) I",a) learning gain,a) pre-post test,a) learning,a) product,"1-A: correlation: sig: (r = 0.51)
2-A: correlation: sig: (r = 0.41)
3-A: correlation: sig: (r = 0.39)",a)1
10,10,,15,edwin,I) Eye Gaze,I) Eye Tracker (Glasses),I) SMI,"1) Gaze Fixations
2) Gaze Saccades","1) Gaze
2) Gaze","1) Visual Attention
2) Eye Motion","1) Visual Attention
2) Eye Motion","1) Individual
2) Individual","1) I
2) I",a) task performance,a) researcher coded,a) performance,a) product,1+2-A: correlation: nonsig,a) 0
11,11,,17,steph,"II) Video
IV) Kinesiology
V) Log Data","II) Kinect
IV) Kinect
V) Own Application","II) Microsoft Kinect
IV) Microsoft Kinect
V) Javatutor","1) Dialogue Acts
2) Facial Expressions
3) Gesture
4) Task Actions","1) Verbal
2) Head
3) Body
4) Log Data","1) Speech Content
2) Facial Expressions
3) Hand Motion
4) Task-Related","1) Speech Content
2) Facial Expressions
3) Hand Motion
4) Task-Related","1) Individual
2) Individual
3) Individual
4) Individual","1) V
2) II
3) IV
4) V","a) engagement
B) frustration
c) learning gain","a) self report
B) self report
c) pre-post test","a) cognitive engagement
B) affective
c) learning","a) process
B) process
c) product","1+2+3-A: regression: sig
1+2+3-B: regression: sig
1+2+3-C: regression: sig","a) 1
B) 1
c) 1"
12,12,,18,steph,"IV) Kinesiology
II) Video","IV) Kinect
II) Camera","IV) Microsoft Kinect
II) NS","1) Clustered Hand/Wrist Movement
2) Object Manipulation","1) Body
2) Log Data","1) Hand Motion
2) Task-Related","1) Hand Motion
2) Task-Related","1) Individual
2) Individual","1) IV
2) II",a) learning gain,a) pre-post test,a) learning,a) product,1-A: sup. machine learning: sig: (ACC: 76%),a) 1
13,13,,19,bert,"I) Eye Gaze
III) Audio","I) Eye Tracker
III) Microphone","I) Tobii 1750
III) NS","1) (Not) Focused Together
2) Dialogue Episodes","1) Gaze
2) Verbal","1) Visual Attention
2) Speech Content","1) Visual Attention
2) Speech Content","1) Group
2) Individual","1) I
2) III",a) level of understanding,a) researcher coded,a) learning,a) product,"1-A: anova: sig: (F [1,16]=8.70)
1+2-A: anova: sig: (F [1,61]=7.60)",a) 1
14,14,,20,edwin,I) Eye Gaze,I) Eye Tracker,I) NS,1) Joint Visual Attention,1) Gaze,1) Visual Attention,1) Visual Attention,1) Group,1) I,"a) learning gain
B) collaboration quality","a) learning test
B) researcher coded","a) learning
B) coordination","a) product
B) process","1-A: regression: sig
1-B: regression: sig","a) 1
B) 1"
15,15,,21,edwin,V) Log Data,V) Interactive Tabletop,V) NS,1) Events,1) Log Data,1) Task-Related ,1) Task-Related ,1) Individual,1) V,a) group performance,a) researcher coded,a) performance,a) product,1-A: unsup. machine learning: sig,a) 1
16,16,,22,edwin,"I) Eye Gaze
V) Log Data","I) Eye Tracker
V) NS","I) Tobii X1
V) NS","1) Joint Visual Attention
2) N-Grams
3) Cosine Similarity Scores
4) Convergence Measures
5) Coherence Metrics","1) Gaze
2) Verbal
3) Verbal
4) Verbal
5) Verbal","1) Visual Attention
2) Speech Content
3) Speech Content
4) Speech Content
5) Speech Content","1) Visual Attention
2) Speech Content
3) Speech Content
4) Speech Content
5) Speech Content","1) Individual
2) Individual
3) Individual
4) Individual
5) Individual","1) I
2) V
3) V
4) V
5) V","a) learning gain
B) collaboration quality","a) learning test
B) researcher coded","a) learning
B) coordination","a) product
B) process","1,4-A: ANOVA: nonsig
1,4-B: ANOVA: nonsig
1,5-A: correlation: sig
2,3,4,5-A: sup. machine learning: 75%","a) 1/0
B)0"
17,17,,24,edwin,"I) Eye Gaze
II) Video
III) Audio","I) Eye Tracker
II) Camera
III) Microphone ","I) SMI (Eye- Tracking Glasses With Binocular Pupil Tracking At 30Hz)
II) NS
III) NS","1) Joint Visual Attention
2) Gestures
3) Speech Time","1) Gaze
2) Body
3) Verbal","1) Visual Attention
2) Hand Motion
3) Speech Participation","1) Visual Attention
2) Hand Motion
3) Speech Participation","1) Group
2) Individual
3) Individual","1) I
2) II
3) III","a) group performance
B) learning gain","a) researcher coded
B) learning test","a) performance
B) learning","a) product
B) product","1,2,3-B: qualitative: sig
1-B: correlation: sig","a) /
B) 1"
18,18,,25,edwin,"II) Video
III) Audio
V) Log Data","II) Camera
III) Microphone
V) Digital Pen","II) NS
III) NS
V) NS","1) Calculator Use
2) Total Movement
3) Distance From The Center Of The Table
4) Number Of Interventions
5) Speech Time
6) Times Numbers Were Mentioned
7) Times Mathematical Terms Were Mentioned
8) Times Commands Were Pronounced
9) Total Number Of Pen Strokes
10) Average Number Of Points
11) Average Stroke Time Length
12) Average Stroke Path Length
13) Average Stroke Displacement
14) Average Stroke Pressure","1) Log Data
2) Body
3) Body
4) Verbal
5) Verbal
6) Verbal
7) Verbal
8) Verbal
9) Log Data
10) Log Data
11) Log Data
12) Log Data
13) Log Data
14) Log Data","1) Task-Related
2) Gross Body Motion
3) Location
4) Speech Participation
5) Speech Participation
6) Speech Content
7) Speech Content
8) Speech Content
9) Text
10) Text
11) Text
12) Text
13) Text
14) Text ","1) Task-Related
2) Gross Body Motion
3) Location
4) Speech Participation
5) Speech Participation
6) Speech Content
7) Speech Content
8) Speech Content
9) Text
10) Text
11) Text
12) Text
13) Text
14) Text ","1) Individual
2) Individual
3) Individual
4) Group
5) Individual
6) Individual
7) Individual
8) Individual
9) Individual
10) Individual
11) Individual
12) Individual
13) Individual
14) Individual","1) II
2) II
3) II
4) III
5) III
6) III
7) III
8) III
9) V
10) V
11) V
12) V
13) V
14) V","a) task performance
B) expertise","a) researcher coded
B) researcher coded","a) performance
B) group composition","a) product
B) condition","1,2,3,4,5,6,7,8,9,10,11,12,13,14-A: regression: sig
1,2,3,4,5,6,7,8,9,10,11,12,13,14-B: sup. machine learning: sig","a)1
B) 1"
19,19,,26,edwin,"II) Video
III) Audio","II) Camera
III) Microphone","II) NS
III) Dev-Audio","1) Speaking Status
2) Pitch
3) Energy
4) Head Motion
5) Body Motion
6) Motion Energy Images
7) Gaze","1) Verbal
2) Verbal
3) Verbal
4) Head
5) Body
6) Body
7) Gaze","1) Speech Participation
2) Speech Features
3) Speech Features
4) Head Motion
5) Gross Body Motion
6) Gross Body Motion
7) Visual Attention","1) Speech Participation
2) Speech Features
3) Speech Features
4) Head Motion
5) Gross Body Motion
6) Gross Body Motion
7) Visual Attention","1) Group
2) Individual
3) Individual
4) Individual
5) Individual
6) Individual
7) Group","1) III
2) III
3) III
4) II
5) II
6) II
7) II",a) personality ,a) self-report,a) group composition,a) condition,"1,2,3,4,5,6,7-A: unsup. machine learning: (69.61%)",a)
20,20,,27,edwin,"II) Video
III) Audio
V) Log Data","II) Camera
III) Microphone
V) Digital Pen And Digital Paper","II) Point Grey Scorpion Digital Firewire Cameras
III) Countryman Isomax Hyper-Cardioid Microphones
V) Nokia Digital Pens And Anoto Digital Paper","1) Total Manual Gestures Per Second
2) Iconic Gestures Per Second
3) Deictic Gestures Per Second","1) Body
2) Body
3) Body","1) Hand Motion
2) Hand Motion
3) Hand Motion","1) Hand Motion
2) Hand Motion
3) Hand Motion","1) Individual
2) Individual
3) Individual","1) II
2) II
3) II",a) expertise,a) researcher coded,a) group composition,a) condition,"1-A: Wilcoxon Signed Ranks test: sig
2-A: Wilcoxon Signed Ranks test: sig
3-A: Wilcoxon Signed Ranks test: nonsig",a) 1
21,21,,28,edwin,"III) Audio
V) Log Data","III) Microphone
V) Interactive Tabletop","III) Dev-Audio
V) Collaid","1) Sequences Of Verbal Utterances
2) Sequences Of Meaningful Actions","1) Verbal
2) Log Data","1) Speech Content
2) Touch ","1) Speech Content
2) Touch ","1) Individual
2) Individual","1) III
2) V",a) colloboration quality,a) researcher coded,a) coordination,a) process,"1,2-A: unsup. machine learning: (90%)",a) 1
22,22,,32,callie,III) Audio,III) Microphone,III) NS,"1) Duration Of All Vocalisations
2) Average Duration Of Vocalisation
3) Standard Deviation Of Vocalisation
4) Probability Of A Transition From Floor To A Vocalisation
5) Probability Of A Transition From A Vocalisation To Floor
6) Probability Of Transitioning From A Group Vocalisation To Speaker Vocalisation
7) Probability Of Transitioning From A Speaker Vocalisation To A Group Vocalisation
8) Uncertainty In The Transitions Originating From A Speaker","1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal
7) Verbal
8) Verbal","1) Speech Participation
2) Speech Participation
3) Speech Participation
4) Speech Participation
5) Speech Participation
6) Speech Participation
7) Speech Participation
8) Speech Participation","1) Speech Participation
2) Speech Participation
3) Speech Participation
4) Speech Participation
5) Speech Participation
6) Speech Participation
7) Speech Participation
8) Speech Participation","1) Individual
2) Individual
3) Individual
4) Individual
5) Individual
6) Individual
7) Individual
8) Group","1) III
2) III
3) III
4) III
5) III
6) III
7) III
8) III",a) expertise,a) task outcome,a) group composition,a) condition,"1,2,3,4,5,6,7,8-A: sup. machine learning: sig: (ACC: 92%)",a) 1
23,23,,33,callie,"IV) Kinesiology
V) Log Data","IV) Kinect
V) Own Application","IV) Microsoft Kinect
V) Created","1) Amount Of Exploration
2) Types Of Exploration
3) Amount Of Movement
4) Type Of Movement
5) Body Synchrony
6) Body Distance","1) Log Data
2) Log Data
3) Body
4) Body
5) Body
6) Body","1) Task-Related
2) Task-Related
3) Gross Body Motion
4) Gross Body Motion
5) Gross Body Motion
6) Location","1) Task-Related
2) Task-Related
3) Gross Body Motion
4) Gross Body Motion
5) Gross Body Motion
6) Location","1) Individual
2) Individual
3) Individual
4) Group
5) Individual
6) Individual","1) V
2) V
3) IV
4) IV
5) IV
6) IV","a) individual learning gain
B) group learning gain
c) leadership","a) pre-post test
B) pre-post test
c) researcher coded ","a) learning
B) learning
c) group composition","a) product
B) product
c) condition","1-A: correlation: nonsig
2-A: correlation: mixed
3-A: correlation: nonsig
4-A: correlation: sig
4-C: ANOVA: sig
5-A: ANOVA: nonsig
6-A: correlation: nonsig
1+2+3+4+5+6-B: sup. machine learning: sig: (ACC: 100%)","a) 1/0
B) 1
c) 1"
24,24,,39,bert,"VI) EDA
III) Audio","VI) Smart Wristband
III) Microphone ","VI) Empatica (E4)
III) Microsoft Kinect","1) Physiological Synchrony (Pc)
2) Physiological Synchrony (Da)
3) Physiological Synchrony (Sm)
4) Physiological Synchrony (Idm)
5) Cycles Of Physiological Synchrony (Pc)","1) Physiological
2) Physiological
3) Physiological
4) Physiological
5) Physiological","1) EDA
2) EDA
3) EDA
4) EDA
5) EDA","1) EDA
2) EDA
3) EDA
4) EDA
5) EDA","1) Group
2) Group
3) Group
4) Group
5) Group","1) VI
2) VI
3) VI
4) VI
5) VI","a) collaboration quality
B) task performance
c) learning gain","a) researcher coded
B) task outcome
c) pre-post test","a) coordination
B) performance
c) learning","a) process
B) product
c) product","1-C: correlation: sig: r = 0.35
2-A: correlation: sig: r =0.47
5-A: correlation: sig: r = 0.57
5-C: correlation: sig: r = 0.47","a) 1
B) 1
c) 1"
25,25,,40,edwin,"III) Audio
II) Video
VI) EDA","III) Microphone
II) Web Camera
VI) Electrodes","III) NS
II) NS
VI) Shimmer 3 Gsr+","1) Speech Rate
2) Face And Upper Body Movement
3) Galvanic Skin Response","1) Verbal
2) Body
3) Physiological","1) Speech Features
2) Gross Body Motion
3) EDA","1) Speech Features
2) Gross Body Motion
3) EDA","1) Individual
2) Individual
3) Individual","1) III
2) II
3) VI","a) collaboration quality
B) perceived valence
c) perceived arousal
D) task performance","a) Questionnaire
B) self- report
c) self- report
D) task score","a) interpersonal relationship
B) affective
c) affective
D) performance","a) process
B) process
c) process
D) product","1+2+3-A: unsup. machine learning: nonsig
1+2+3-B: unsup. machine learning: nonsig
1+2+3-C: unsup. machine learning: nonsig
1+2+3-D: unsup. machine learning: nonsig","a) 0
B) 0
c) 0
D)0"
26,26,,41,bert,I) Eye Gaze,I) Eye Tracker,I) Tobii Glasses,"1) Joint Visual Attention
2) Cycles Of Collaborative / Individual Work","1) Gaze
2) Gaze","1) Visual Attention
2) Visual Attention","1) Visual Attention
2) Visual Attention","1) Group
2) Individual","1) I
2) I","a) learning gain
B) collaboration quality
c) task performance","a) pre-post test
B) researcher coded
c) performance score","a) learning
B) coordination
c) performance","a) product
B) process
c) product","1-B: correlation: sig: r = 0.341
2-B: correlation: sig: r = 0.347
2-A: correlation: sig: r = 0.398
2-C: correlation: sig: r = 0.355","a) 1
B) 1
c) 1"
27,27,,42,steph,"I) Eye Gaze
V) Log Data","I) Eye Tracker
V) Log Data","I) Tobii 1750
V) Tetris","1) Gaze Location
2) Gaze Saccades
3) Gaze Fixation
4) Player Actions
5) Zoid Acceleration","1) Gaze
2) Gaze
3) Gaze
4) Log Data
5) Log Data","1) Visual Attention
2) Eye Motion
3) Visual Attention
4) Task-Related
5) Task-Related ","1) Visual Attention
2) Eye Motion
3) Visual Attention
4) Task-Related
5) Task-Related ","1) Individual
2) Individual
3) Individual
4) Individual
5) Individual","1) I
2) I
3) I
4) V
5) V",a) social context,a) assigned,a) group composition,a) condition,1+2+3+4+5-A: sup. machine learning: sig: (ACC:81.43%),a) assigned
28,28,,43,callie,III) Audio,III) Microphone,III) NS,"1) Pitch
2) Intensity
3) Voice Quality
4) Speaking Rate
5) Proximity
6) Convergence
7) Synchrony","1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal
7) Verbal","1) Speech Features
2) Speech Features
3) Speech Features
4) Speech Features
5) Speech Features
6) Speech Features
7) Speech Features","1) Speech Features
2) Speech Features
3) Speech Features
4) Speech Features
5) Speech Features
6) Speech Features
7) Speech Features","1) Individual
2) Individual
3) Individual
4) Individual
5) Group
6) Group
7) Group","1) III
2) III
3) III
4) III
5) III
6) III
7) III",a) conversational features ,a) mixed - researcher coded & self-report,a) interpersonal relationship,a) process,"5-A: correlation: mixed: (Max r 0.842)
6-A: correlation: mixed: (Max r 0.741)
7-A: correlation: mixed: (Max r 0.634)",a) 0/1
29,29,,44,edwin,I) Eye Gaze,I) Optical See-Through Head-Mounted Display,I) NS,1) Gaze Location,1) Gaze,1) Visual Attention,1) Visual Attention,1) Individual,1) I,"a) quality of remote collaboration
B) task completion time","a) questionnaire
B) task outcome","a) performance
B) performance","a) product
B) product","1-A: Wilcoxon Signed Ranks test: sig
1-B: Wilcoxon Signed Ranks test: sig","a) 1
B) 1"
30,30,,46,bert,I) Eye Gaze,I) Eye Tracker,I) SMI,1) Joint Visual Attention,1) Gaze,1) Visual Attention,1) Visual Attention,1) Group,1) I,"a) task performance
B) learning gain","a) calculation
B) pre-post test","a) performance
B) learning","a) product
B) product","1-A: correlation: sig: (r = 0.59)
1-B: correlation: sig: (r = 0.42)","a) 1
B) 1"
